iter	Passed	Remaining
399	65407	16351
400	65582	16191
401	65765	16032
402	65958	15875
403	66139	15716
404	66311	15554
405	66480	15392
406	66671	15234
407	66818	15066
408	66999	14906
409	67177	14746
410	67338	14581
411	67517	14421
412	67671	14255
413	67827	14089
414	67995	13926
415	68173	13765
416	68361	13606
417	68527	13443
418	68699	13280
419	68871	13118
420	69029	12953
421	69204	12791
422	69404	12633
423	69602	12475
424	69743	12307
425	69931	12147
426	70073	11979
427	70264	11820
428	70400	11651
429	70561	11486
430	70698	11318
431	70880	11157
432	71067	10996
433	71261	10836
434	71435	10674
435	71648	10517
436	71826	10354
437	71984	10189
438	72144	10024
439	72282	9856
440	72420	9688
441	72611	9528
442	72800	9367
443	72972	9203
444	73141	9039
445	73320	8877
446	73491	8713
447	73681	8552
448	73883	8392
449	74034	8226
450	74214	8063
451	74383	7899
452	74543	7734
453	74708	7569
454	74868	7404
455	75034	7240
456	75202	7075
457	75395	6914
458	75546	6748
459	75767	6588
460	75934	6423
461	76141	6262
462	76309	6098
463	76464	5932
464	76651	5769
465	76805	5603
466	76968	5438
467	77159	5275
468	77338	5111
469	77507	4947
470	77663	4781
471	77843	4617
472	78010	4453
473	78197	4289
474	78420	4127
475	78597	3962
476	78767	3798
477	78922	3632
478	79063	3466
479	79233	3301
480	79404	3136
481	79556	2970
482	79715	2805
483	79895	2641
484	80069	2476
485	80272	2312
486	80454	2147
487	80653	1983
488	80840	1818
489	81019	1653
490	81199	1488
491	81374	1323
492	81537	1157
493	81700	992
494	81837	826
495	81985	661
496	82135	495
497	82311	330
498	82517	165
499	82672	0
