iter	Accuracy	MultiClass
219	0.5515560166	1.652005083
220	0.5546680498	1.65033634
221	0.5615145228	1.648167869
222	0.5609958506	1.646672512
223	0.5630705394	1.645337649
224	0.5659751037	1.644068689
225	0.5685684647	1.642574948
226	0.569813278	1.641831809
227	0.5731327801	1.641026281
228	0.5721991701	1.640066415
229	0.5728215768	1.639548053
230	0.5727178423	1.639016098
231	0.5782157676	1.636403401
232	0.5836099585	1.634373456
233	0.5866182573	1.633416103
234	0.587966805	1.632610257
235	0.5913900415	1.630976222
236	0.5988589212	1.628328348
237	0.5986514523	1.627860548
238	0.6003112033	1.626498116
239	0.6022821577	1.625083481
240	0.6022821577	1.624357299
241	0.6028008299	1.62307446
242	0.6057053942	1.621476394
243	0.6063278008	1.620425715
244	0.6066390041	1.619578146
245	0.6064315353	1.618362905
246	0.6097510373	1.617368488
247	0.6105809129	1.616182196
248	0.6122406639	1.615301231
249	0.6154564315	1.614339051
250	0.6191908714	1.612241987
251	0.6231327801	1.610020109
252	0.6235477178	1.608689806
253	0.6274896266	1.607076951
254	0.6282157676	1.605467989
255	0.6288381743	1.604886951
256	0.6331950207	1.602381176
257	0.6371369295	1.600852119
258	0.6373443983	1.600345241
259	0.6386929461	1.598144381
260	0.643153527	1.596115052
261	0.6463692946	1.594002253
262	0.6473029046	1.591921242
263	0.6493775934	1.59054542
264	0.6515560166	1.588785297
265	0.6528008299	1.58739854
266	0.6546680498	1.585879341
267	0.6550829876	1.585161412
268	0.659439834	1.583118975
269	0.6605809129	1.582539624
270	0.6651452282	1.579205809
271	0.6650414938	1.578125329
272	0.665560166	1.577322564
273	0.669813278	1.57567363
274	0.6712655602	1.574038478
275	0.6717842324	1.57321236
276	0.6732365145	1.572042405
277	0.6754149378	1.570388882
278	0.6797717842	1.56840895
279	0.6826763485	1.567121508
280	0.6842323651	1.566011542
281	0.6875518672	1.564425125
282	0.6917012448	1.562193304
283	0.6921161826	1.561110082
284	0.6928423237	1.559974109
285	0.696473029	1.558143523
286	0.6961618257	1.556912049
287	0.6965767635	1.555165808
288	0.7	1.553776851
289	0.70093361	1.552434662
290	0.7002074689	1.551687315
291	0.701659751	1.549864938
292	0.7033195021	1.54822243
293	0.7052904564	1.546903353
294	0.7056016598	1.545581863
295	0.7072614108	1.544034123
296	0.7121369295	1.541078401
297	0.7143153527	1.539130238
298	0.7177385892	1.536196303
299	0.7221991701	1.533400307
300	0.7244813278	1.531448438
301	0.7270746888	1.529887705
302	0.7294605809	1.528521576
303	0.7299792531	1.527301833
304	0.729253112	1.526457566
305	0.7300829876	1.52569121
306	0.7335062241	1.523627377
307	0.7363070539	1.521725163
308	0.7397302905	1.518841924
309	0.7404564315	1.517096573
310	0.7420124481	1.516160506
311	0.7443983402	1.515497753
312	0.7454356846	1.512710053
313	0.7486514523	1.510947467
314	0.74906639	1.510597035
315	0.7479253112	1.509928825
316	0.7512448133	1.507793005
317	0.754253112	1.505914381
318	0.7545643154	1.505311956
319	0.7585062241	1.502755751
320	0.7609958506	1.501234065
321	0.759439834	1.499835435
322	0.7615145228	1.498094674
323	0.7609958506	1.496928523
324	0.7622406639	1.495544492
325	0.7647302905	1.493693699
326	0.765560166	1.492220018
327	0.7674273859	1.491113919
328	0.768153527	1.489755111
329	0.7696058091	1.488032594
330	0.7719917012	1.486569926
331	0.7713692946	1.485573744
332	0.7760373444	1.482486523
333	0.778526971	1.480276919
334	0.7783195021	1.478296275
335	0.7806016598	1.476559469
336	0.781846473	1.475352276
337	0.7835062241	1.473224163
338	0.7836099585	1.472640684
339	0.7864107884	1.471038618
340	0.787966805	1.469228917
341	0.7878630705	1.468524399
342	0.7891078838	1.466418539
343	0.7906639004	1.465559977
344	0.7894190871	1.464514905
345	0.7902489627	1.463264477
346	0.7907676349	1.462064086
347	0.7942946058	1.460597616
348	0.795746888	1.459261665
349	0.7958506224	1.458957269
350	0.7943983402	1.457996161
351	0.7969917012	1.456576481
352	0.7979253112	1.455326367
353	0.8008298755	1.45260648
354	0.7997925311	1.45154664
355	0.8003112033	1.450549218
356	0.80093361	1.449061991
357	0.8018672199	1.447869232
358	0.8041493776	1.445525397
359	0.8041493776	1.444860106
360	0.8062240664	1.443135743
361	0.8072614108	1.441206772
362	0.8079875519	1.439867885
363	0.8095435685	1.437742934
364	0.8104771784	1.435898975
365	0.812033195	1.43369786
366	0.8122406639	1.432370891
367	0.812966805	1.43168685
368	0.814626556	1.430743583
369	0.8153526971	1.429153412
370	0.8169087137	1.427935784
371	0.8189834025	1.426432619
372	0.8218879668	1.424391481
373	0.8210580913	1.423056947
374	0.820746888	1.421988464
375	0.8216804979	1.421034183
376	0.8238589212	1.41894549
377	0.823340249	1.41768789
378	0.8241701245	1.416950344
379	0.8234439834	1.416016184
380	0.8247925311	1.413408864
381	0.8262448133	1.412403835
382	0.8255186722	1.411223475
383	0.8269709544	1.410431902
384	0.8283195021	1.409202613
385	0.8284232365	1.408321845
386	0.8291493776	1.406600491
387	0.831846473	1.405233598
388	0.8307053942	1.403581161
389	0.8312240664	1.402306184
390	0.8338174274	1.400770513
391	0.8328838174	1.399870322
392	0.8339211618	1.398395412
393	0.8356846473	1.397012395
394	0.8354771784	1.394807494
395	0.8367219917	1.393117159
396	0.839626556	1.390302142
397	0.8402489627	1.388684835
398	0.8398340249	1.387903666
399	0.8412863071	1.387053686
400	0.8423236515	1.385721866
401	0.8425311203	1.384377339
402	0.8453319502	1.381917284
403	0.8453319502	1.381236289
404	0.8452282158	1.380443122
405	0.8463692946	1.379977283
406	0.8484439834	1.377911936
407	0.848340249	1.375598809
408	0.8497925311	1.374049131
409	0.8511410788	1.372387836
410	0.8524896266	1.371038545
411	0.8523858921	1.369747552
412	0.8545643154	1.36814748
413	0.8556016598	1.365995596
414	0.8579875519	1.363742921
415	0.8587136929	1.362285889
416	0.8580912863	1.361711344
417	0.8572614108	1.360922756
418	0.8572614108	1.359847528
419	0.8587136929	1.358739212
420	0.8606846473	1.356494027
421	0.8608921162	1.354749904
422	0.8626556017	1.353597533
423	0.8628630705	1.352996644
424	0.8641078838	1.352002568
425	0.8651452282	1.351048299
426	0.8653526971	1.349680219
427	0.8649377593	1.349102216
428	0.865560166	1.34777594
429	0.8669087137	1.346117957
430	0.8683609959	1.344506987
431	0.8677385892	1.343946093
432	0.868153527	1.343347041
433	0.868153527	1.341491071
434	0.8674273859	1.340867801
435	0.8696058091	1.339580174
436	0.8693983402	1.338464749
437	0.8687759336	1.337415216
438	0.8708506224	1.335721682
439	0.872406639	1.334498537
440	0.8735477178	1.332825144
441	0.8732365145	1.33246559
442	0.872406639	1.332090893
443	0.8734439834	1.331123088
444	0.8736514523	1.330365406
445	0.8732365145	1.329223745
446	0.8738589212	1.327609364
447	0.8739626556	1.327138427
448	0.875	1.32641659
449	0.8756224066	1.325049696
450	0.8761410788	1.323678081
451	0.876659751	1.321510565
452	0.8761410788	1.319944024
453	0.8789419087	1.318413199
454	0.8791493776	1.317688348
455	0.8795643154	1.316708453
456	0.8799792531	1.31432294
457	0.8807053942	1.31300171
458	0.881120332	1.311225232
459	0.8815352697	1.310264825
460	0.8826763485	1.309048666
461	0.8823651452	1.308219523
462	0.8825726141	1.306539139
463	0.8836099585	1.306010144
464	0.884439834	1.303918592
465	0.8848547718	1.302882174
466	0.885373444	1.302243685
467	0.885373444	1.301173952
468	0.8865145228	1.300043885
469	0.8866182573	1.299294404
470	0.8869294606	1.298335358
471	0.8864107884	1.296967384
472	0.8881742739	1.295621315
473	0.8876556017	1.294807065
474	0.8890041494	1.292460768
475	0.8900414938	1.290853134
476	0.8912863071	1.288994053
477	0.8911825726	1.288121997
478	0.8913900415	1.286856352
479	0.8921161826	1.286325319
480	0.8928423237	1.283674477
481	0.8939834025	1.281631872
482	0.8947095436	1.280523062
483	0.8947095436	1.279591001
484	0.8950207469	1.278557327
485	0.8959543568	1.277717758
486	0.8965767635	1.276340065
487	0.8968879668	1.275580741
488	0.8976141079	1.273503699
489	0.89906639	1.272147543
490	0.8991701245	1.2714838
491	0.8995850622	1.270166315
492	0.8995850622	1.268907614
493	0.9003112033	1.267485244
494	0.9006224066	1.266456619
495	0.9006224066	1.265035252
496	0.9014522822	1.263441188
497	0.9018672199	1.262126086
498	0.9037344398	1.259557022
499	0.9040456432	1.258827231
